Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen?,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good.,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Belief in Flat Earth Theory
,Other,35,35-44,Democrat,Strongly disapprove,Graduate degree,Asian,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,50.0,Yes,,Too Low,TRUE,Smart and Sad,Acceptable,Uncertain
,Female,31,25-34,DK/REF,Somewhat Approve,College degree,Black,Single,Unlikely,Real but not Caused by People,1.0,Strongly Disagree,Somewhat Agree,10.0,No,50.0,Too High,TRUE,DK/REF,Acceptable,No
,Female,31,25-34,Independent,Neither approve nor disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,5.0,Yes,10.0,Too Low,FALSE,Dumb and happy,Acceptable,No
,Male,62,55-64,Independent,Somewhat disapprove,High school,White,Single,Unlikely,Real and Caused by People,3.0,Somewhat Agree,Somewhat Agree,1.0,Yes,60.0,Too High,TRUE,Smart and Sad,Unacceptable,No
,Male,75,65+,Republican,Strongly Approve,High school,White,Married,Likely,Real but not Caused by People,,Somewhat Agree,Somewhat Agree,20.0,No,5.0,About Right,TRUE,Smart and Sad,Acceptable,No
,Female,66,65+,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,30.0,No,7.0,About Right,FALSE,Smart and Sad,Unacceptable,No
,Male,58,55-64,Independent,Somewhat disapprove,Graduate degree,White,Single,Unlikely,Real and Caused by People,0.0,Strongly Agree,Somewhat Disagree,4.0,No,7.0,About Right,FALSE,Dumb and happy,Acceptable,No
,Female,47,45-54,DK/REF,Strongly disapprove,Some college,White,In a relationship,Unlikely,Real and Caused by People,4.0,Somewhat Agree,Somewhat Agree,20.0,Yes,8.0,Too Low,TRUE,Dumb and happy,Acceptable,No
,Male,18,18-24,Republican,Strongly Approve,High school,White,Single,Unlikely,Not Real At All,2.0,Somewhat Agree,Strongly Agree,4.0,Yes,12.0,About Right,FALSE,Dumb and happy,Acceptable,No
,Male,34,25-34,Republican,Strongly Approve,High school,White,Widowed,Likely,Not Real At All,5.0,Strongly Disagree,Strongly Disagree,1.0,Yes,69.0,Too High,DK/REF,Smart and Sad,Acceptable,Yes
,Female,63,55-64,Democrat,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,4.0,Somewhat Agree,Strongly Agree,6.0,No,,About Right,TRUE,Smart and Sad,Acceptable,No
,Male,28,25-34,Republican,Strongly Approve,Some college,White,In a relationship,Unlikely,Real and Caused by People,2.0,Somewhat Agree,Somewhat Agree,0.0,No,,About Right,TRUE,Dumb and happy,Acceptable,Uncertain
,Male,36,35-44,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,2.0,Strongly Agree,Somewhat Agree,8.0,Yes,5.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
,Male,32,25-34,Independent,Somewhat Approve,High school,White,Single,Unlikely,Real and Caused by People,4.0,Somewhat Agree,Strongly Agree,18.0,No,30.0,About Right,TRUE,Smart and Sad,Acceptable,Uncertain
,Male,55,55-64,Independent,Somewhat Approve,Some college,White,Divorced,Unlikely,Real and Caused by People,1.0,Somewhat Agree,Somewhat Disagree,0.0,Yes,30.0,About Right,TRUE,Dumb and happy,Unacceptable,No
,Male,72,65+,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Somewhat Agree,6.0,Yes,25.0,About Right,TRUE,Smart and Sad,Acceptable,No
,Male,31,25-34,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,2.0,Strongly Agree,Strongly Agree,20.0,No,1.0,Too Low,FALSE,Smart and Sad,Acceptable,No
,Female,41,35-44,Democrat,Strongly disapprove,High school,Latino,Married,Unlikely,Real and Caused by People,2.0,Somewhat Agree,Somewhat Disagree,0.0,No,20.0,Too Low,TRUE,Dumb and happy,Unacceptable,No
,Male,48,45-54,DK/REF,Strongly Approve,High school,White,In a relationship,Unlikely,Not Real At All,2.0,Somewhat Agree,Somewhat Agree,2.0,Yes,35.0,About Right,TRUE,Dumb and happy,Unacceptable,No
,Female,86,65+,Independent,Strongly disapprove,College degree,White,Married,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,2.0,No,,DK/REF,TRUE,Dumb and happy,Acceptable,Uncertain
,Female,53,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,50.0,No,3.0,Too Low,DK/REF,Smart and Sad,Acceptable,No
30000.0,Female,74,65+,Independent,DK/REF,High school,White,Divorced,Likely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,50.0,No,30.0,About Right,TRUE,Dumb and happy,Unacceptable,No
52000.0,Female,33,25-34,DK/REF,Strongly Approve,College degree,White,Married,Unlikely,Not Real At All,2.0,Strongly Disagree,Strongly Agree,1000.0,Yes,60.0,Too High,DK/REF,Dumb and happy,Unacceptable,Uncertain
41000.0,Female,78,65+,Republican,Somewhat Approve,Some college,White,Widowed,Likely,Not Real At All,0.0,Somewhat Agree,Somewhat Agree,0.0,No,,About Right,TRUE,Dumb and happy,Acceptable,No
106000.0,Male,45,45-54,DK/REF,Strongly Approve,College degree,White,Married,Unlikely,Not Real At All,2.0,Somewhat Agree,Somewhat Agree,20.0,No,5.0,Too Low,FALSE,Dumb and happy,Unacceptable,No
21000.0,Male,41,35-44,Democrat,Somewhat Approve,High school,White,Divorced,Likely,Real and Caused by People,0.0,Somewhat Disagree,Somewhat Agree,1.0,No,100.0,About Right,FALSE,Dumb and happy,Unacceptable,Uncertain
107000.0,Male,76,65+,Independent,Strongly disapprove,College degree,White,Married,Likely,Real and Caused by People,2.0,DK/REF,Strongly Agree,3.0,No,1.0,Too Low,FALSE,Smart and Sad,Acceptable,No
53000.0,Female,65,65+,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,3.0,No,45.0,About Right,TRUE,Smart and Sad,Unacceptable,Uncertain
26000.0,Male,48,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,2.0,Strongly Agree,Somewhat Agree,15.0,Yes,1.0,Too Low,FALSE,Dumb and happy,Unacceptable,No
126000.0,Male,46,45-54,Independent,Neither approve nor disapprove,Some college,White,Married,Unlikely,Real but not Caused by People,3.0,Strongly Agree,Strongly Agree,1.0,No,10.0,Too Low,FALSE,Smart and Sad,DK/REF,No
179000.0,Male,50,45-54,Republican,Strongly Approve,Graduate degree,Latino,Married,Unlikely,Not Real At All,5.0,Strongly Disagree,Strongly Agree,10.0,No,2.0,Too Low,FALSE,Dumb and happy,Acceptable,No
122000.0,Female,48,45-54,Republican,Strongly Approve,College degree,White,Married,Unlikely,Not Real At All,2.0,Somewhat Disagree,Somewhat Agree,20.0,No,30.0,Too High,FALSE,Dumb and happy,Acceptable,Uncertain
113000.0,Female,54,45-54,Independent,Strongly disapprove,Graduate degree,White,Divorced,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,65.0,Yes,10.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
140000.0,Male,21,18-24,Independent,Somewhat disapprove,Some college,Black,Single,Unlikely,Real and Caused by People,3.0,Somewhat Agree,Somewhat Agree,3.0,No,20.0,Too Low,TRUE,Dumb and happy,Unacceptable,No
207000.0,Female,48,45-54,Independent,Somewhat disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1.0,Somewhat Disagree,Strongly Agree,150.0,No,20.0,About Right,FALSE,Dumb and happy,Unacceptable,No
182000.0,Female,42,35-44,Independent,Somewhat disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1.0,Somewhat Agree,Strongly Agree,12.0,Yes,10.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
128000.0,Female,50,45-54,Independent,Strongly Approve,Some college,White,Married,Likely,Real and Caused by People,3.0,DK/REF,Strongly Agree,5.0,Yes,,DK/REF,FALSE,Smart and Sad,Unacceptable,Uncertain
71000.0,Female,40,35-44,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,60.0,No,5.0,Too Low,FALSE,Smart and Sad,Acceptable,No
70000.0,Male,52,45-54,Republican,Strongly Approve,Some college,White,Married,Unlikely,DK/REF,0.0,Strongly Disagree,Somewhat Agree,0.0,No,,DK/REF,FALSE,Smart and Sad,DK/REF,No
,Male,37,35-44,Independent,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,2.0,Strongly Agree,Strongly Agree,15.0,No,15.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
,Female,45,45-54,Independent,Somewhat disapprove,College degree,White,Married,Likely,Real and Caused by People,2.0,Somewhat Agree,Strongly Agree,1.0,Yes,20.0,Too Low,FALSE,Dumb and happy,Acceptable,No
,Female,27,25-34,DK/REF,Neither approve nor disapprove,High school,White,In a relationship,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,3.0,No,,About Right,TRUE,Dumb and happy,Unacceptable,No
,Female,43,35-44,Independent,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Somewhat Agree,12.0,Yes,4.0,Too Low,FALSE,Smart and Sad,Acceptable,No
,Male,28,25-34,Republican,Neither approve nor disapprove,Graduate degree,White,Single,Unlikely,Real but not Caused by People,1.0,Somewhat Agree,Strongly Agree,16.0,No,10.0,Too Low,TRUE,Smart and Sad,Acceptable,No
,Female,80,65+,Democrat,Strongly disapprove,DK/REF,White,Separated,Likely,Not Real At All,,Strongly Agree,Strongly Agree,25.0,No,,About Right,TRUE,Dumb and happy,Unacceptable,Uncertain
,Male,68,65+,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,0.0,Somewhat Disagree,Somewhat Agree,3.0,No,2.0,Too High,FALSE,Dumb and happy,Unacceptable,No
,Male,36,35-44,DK/REF,DK/REF,Graduate degree,White,Married,Unlikely,Real and Caused by People,4.0,Somewhat Agree,Somewhat Disagree,12.0,No,,DK/REF,TRUE,Dumb and happy,Acceptable,Uncertain
,Female,53,45-54,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,35.0,Yes,20.0,About Right,FALSE,Dumb and happy,Acceptable,No
,Male,38,35-44,DK/REF,Somewhat disapprove,Other,White,Married,Unlikely,DK/REF,,Somewhat Agree,Strongly Agree,10.0,Yes,,Too High,DK/REF,Smart and Sad,Acceptable,Uncertain
,Female,37,35-44,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,1.0,Strongly Disagree,Somewhat Disagree,10.0,No,22.0,About Right,TRUE,DK/REF,DK/REF,No
,Female,42,35-44,Independent,Strongly disapprove,Some college,White,Divorced,Unlikely,Real and Caused by People,4.0,Strongly Agree,Strongly Agree,20.0,Yes,10.0,Too Low,DK/REF,Dumb and happy,Acceptable,No
,Male,24,18-24,DK/REF,Strongly Approve,Some college,Other,Single,Unlikely,Real and Caused by People,2.0,Neither Agree nor Disagree,Neither Agree nor Disagree,,No,,DK/REF,TRUE,DK/REF,Unacceptable,No
,Female,50,45-54,Democrat,Strongly disapprove,College degree,Other,Married,Unlikely,Not Real At All,,Strongly Disagree,Strongly Agree,2.0,Yes,,Too Low,DK/REF,Dumb and happy,Acceptable,Uncertain
,Male,53,45-54,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,7.0,No,3.0,About Right,FALSE,Dumb and happy,DK/REF,No
,Female,30,25-34,Independent,Somewhat disapprove,Other,Asian,In a relationship,Unlikely,DK/REF,1.0,Strongly Agree,Strongly Agree,20.0,No,15.0,About Right,FALSE,Dumb and happy,Acceptable,No
,Female,20,18-24,Democrat,Strongly disapprove,Some college,Black,Single,Unlikely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,10.0,Yes,10.0,About Right,FALSE,Dumb and happy,Acceptable,No
,Male,67,65+,Republican,Strongly Approve,Some college,White,In a relationship,Unlikely,Not Real At All,0.0,Somewhat Agree,DK/REF,4.0,No,,About Right,TRUE,Smart and Sad,Acceptable,No
77000.0,Male,18,18-24,Republican,Strongly Approve,High school,White,In a relationship,Unlikely,Real but not Caused by People,1.0,Somewhat Agree,Strongly Agree,3.0,Yes,35.0,About Right,FALSE,Smart and Sad,Unacceptable,Uncertain
,Female,34,25-34,Democrat,Strongly disapprove,Graduate degree,Asian,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,60.0,No,13.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
,Male,60,55-64,Democrat,Somewhat disapprove,High school,Black,Single,Likely,Real and Caused by People,1.0,Strongly Agree,Strongly Agree,20.0,No,,About Right,TRUE,Dumb and happy,Unacceptable,Uncertain
,Male,25,25-34,DK/REF,DK/REF,Some college,Latino,Married,Unlikely,Real and Caused by People,3.0,DK/REF,DK/REF,5.0,No,,DK/REF,FALSE,DK/REF,DK/REF,Uncertain
,Male,56,55-64,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,2.0,Strongly Disagree,Somewhat Disagree,4.0,Yes,2.0,Too High,FALSE,Smart and Sad,Unacceptable,No
,Male,50,45-54,Republican,Strongly Approve,High school,White,In a relationship,Unlikely,Not Real At All,0.0,Strongly Disagree,Somewhat Agree,1.0,No,5.0,Too High,FALSE,Dumb and happy,Unacceptable,No
96000.0,Female,61,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2.0,Strongly Agree,Strongly Agree,2.0,Yes,,DK/REF,TRUE,Smart and Sad,Unacceptable,Uncertain
,Female,34,25-34,Independent,Somewhat Approve,Some college,White,Divorced,DK/REF,Real and Caused by People,3.0,Strongly Agree,Strongly Agree,0.0,Yes,5.0,DK/REF,TRUE,Smart and Sad,Acceptable,No
,Female,55,55-64,Republican,Strongly Approve,Graduate degree,White,Widowed,Unlikely,Not Real At All,0.0,Somewhat Disagree,Somewhat Agree,5.0,No,18.0,DK/REF,FALSE,DK/REF,DK/REF,No
,Male,25,25-34,Independent,Strongly Approve,High school,White,Married,Likely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,0.0,Yes,,DK/REF,DK/REF,Smart and Sad,Unacceptable,Uncertain
,Female,19,18-24,DK/REF,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,2.0,Somewhat Agree,Strongly Agree,2.0,Yes,60.0,About Right,TRUE,Dumb and happy,Unacceptable,No
,Male,70,65+,Independent,Somewhat Approve,DK/REF,White,Married,Unlikely,Not Real At All,1.0,Strongly Disagree,DK/REF,1.0,No,0.0,Too High,TRUE,DK/REF,DK/REF,Uncertain
